date,interval_arbitrage,confidence_weighted,unhedged,hedged
2025-01-03,9371713.862175036,1043101.0000000002,-12330296.274905143,-12330296.274905143
2025-01-03,2757611.011833971,12952299.0,-9761418.280768134,-9761418.280768134
2025-01-03,1050577.3677173224,14636422.0,-9184125.928135974,-9184125.928135972
2025-01-03,2803983.375031355,1460690.0,-10167602.785091337,-10167602.785091337
2025-01-03,1492132.40382771,-481733.9999999999,-9733736.929091394,-9733736.929091394
2025-01-03,1396605.1224846041,2361269.0000000005,-7506788.1942615695,-7506788.1942615695
2025-01-03,21680702.61140566,1766859.0,-25813662.898856938,-25813662.898856938
2025-01-03,11606571.199525788,10604815.0,-17915074.987435054,-17915074.987435054
2025-01-03,13016075.992927933,1077471.9999999995,-18478440.1247629,-18478440.1247629
2025-01-03,3761757.0046304343,18287713.0,-11261119.256050076,-11261119.256050076
2025-01-03,3276048.362747696,-1263977.9999999998,-11809831.048609514,-11809831.048609518
2025-01-03,2836712.5373006323,-178639.99999999988,-11982345.960820854,-11982345.960820854
2025-01-03,2786033.234930078,4888735.0,-10262200.79572026,-10262200.79572026
2025-01-03,1339901.7074781419,2336370.0,-8496656.35488896,-8496656.35488896
2025-01-03,2053047.5589638748,2372199.0,-5831320.0069685895,-5831320.00696859
2025-01-03,5570486.639179174,18520383.0,-13078706.617993452,-13078706.617993448
2025-01-03,3390721.6281263437,14498929.0,-8809601.325042889,-8809601.325042889
2025-01-03,1174558.6228390958,388619.0000000006,-7402975.113040146,-7402975.113040147
2025-01-03,3361163.338014506,2057405.0,-9002534.348542657,-9002534.348542657
2025-01-03,5552417.432983323,3527764.0,-10409307.633647807,-10409307.633647805
2025-01-03,4631350.315889758,-1368796.0000000002,-13683327.006607715,-13683327.006607715
2025-01-03,3789427.7472170964,216655.99999999997,-11879230.201896781,-11879230.20189678
2025-01-03,3739373.856811772,9583210.0,-12919864.116911069,-12919864.116911069
2025-01-03,881786.7579242298,8704783.0,-11461235.022021517,-11461235.022021517
2025-01-03,18644261.40676606,-4310800.0,-22279813.530375943,-22279813.53037594
2025-01-03,22553706.794690352,-75216.00000000023,-24658977.761244357,-24658977.761244357
2025-01-03,16914512.97967963,5194175.0,-22052564.195319872,-22052564.195319872
2025-01-03,18445856.486757714,1977099.0,-23613045.51475498,-23613045.514754985
2025-01-03,10452202.938086323,2207060.0,-16525133.34119366,-16525133.341193657
2025-01-03,6870481.187645994,-122152.99999999965,-13858840.327653447,-13858840.327653447
2025-01-03,1204653.3736565013,18979213.0,-7673243.865830218,-7673243.8658302175
2025-01-03,623987.7165212848,1915577.0,-6019774.94054745,-6019774.940547451
2025-01-03,1274142.551411027,2388155.0,-6118222.4274217915,-6118222.4274217915
2025-01-03,2029306.8938453484,2846494.0,-5386287.48768116,-5386287.48768116
2025-01-03,1088530.2146771806,-457662.99999999977,-7777245.3019964835,-7777245.301996483
2025-01-03,581760.4990550086,1443100.9999999998,-6264521.207752395,-6264521.2077523945
2025-01-03,4353445.854108197,10139623.0,-13662283.858766839,-13662283.858766839
2025-01-03,2153983.692941162,15964830.0,-10326159.29610612,-10326159.29610612
2025-01-03,2120658.758759761,-1486670.0,-11324991.907333383,-11324991.907333383
2025-01-03,4942417.326798398,1044733.0,-12385093.329988614,-12385093.329988612
2025-01-03,3156058.0021622702,3066773.0,-10486960.080497934,-10486960.080497934
2025-01-03,2197120.9795336532,664419.0,-9931450.41596072,-9931450.41596072
2025-01-03,3593503.2138947705,1012426.9999999999,-9847102.360034222,-9847102.360034222
2025-01-03,1473198.0079545719,8951557.0,-9922732.463901106,-9922732.463901106
2025-01-03,4084326.1311184145,14526885.0,-8777636.444509525,-8777636.444509525
2025-01-03,1428990.2372859055,622105.9999999999,-8856748.422192875,-8856748.422192875
2025-01-03,2707617.2264375445,2124373.0,-8277532.494642252,-8277532.494642251
2025-01-03,5898476.152961593,2577124.9999999995,-12391008.521276116,-12391008.521276118
2025-01-03,4782004.939055922,1836439.0000000002,-9007078.414437104,-9007078.414437104
2025-01-03,1969120.4741318156,-750041.9999999998,-7272179.840057075,-7272179.840057075
2025-01-03,6883282.529711301,-2857004.0,-15550876.096664434,-15550876.096664436
2025-01-03,4813924.921572697,15956470.0,-11192006.797170015,-11192006.797170015
2025-01-03,4380459.31204895,2009647.9999999998,-12177045.45276263,-12177045.45276263
2025-01-03,1150690.6609164402,10093441.0,-6688990.573669793,-6688990.573669792
2025-01-03,16806364.59301328,-2931744.9999999995,-22010647.789824553,-22010647.78982455
2025-01-03,3647807.3020901736,11313539.0,-12334914.31161934,-12334914.31161934
2025-01-03,1407827.3173016417,3197397.0,-10001170.877137281,-10001170.877137283
2025-01-03,3134344.068193773,3659241.0,-10392527.842244687,-10392527.842244687
2025-01-03,1487834.8408120426,3925716.0,-9442379.821634013,-9442379.821634013
2025-01-03,6713830.093021943,-3989022.0,-13637830.477289397,-13637830.477289395
2025-01-03,2885310.250623124,727059.0,-13387162.599536937,-13387162.599536937
2025-01-03,2439947.343582894,3068415.0,-12724692.030809872,-12724692.030809872
2025-01-03,4936983.467465485,-109120.00000000044,-12450782.68232648,-12450782.68232648
2025-01-03,1571778.3300979752,2790915.0,-10482898.195206791,-10482898.195206791
2025-01-03,8137750.547981452,-1778485.0,-15707907.90935551,-15707907.90935551
2025-01-03,1031457.6695382978,8726548.0,-9611414.500094227,-9611414.500094227
2025-01-03,2902521.553881068,1157972.9999999998,-10686107.871270623,-10686107.871270623
2025-01-03,2828975.5972901215,3082848.0,-7496243.075447491,-7496243.07544749
2025-01-04,3053825.8628773047,-134399.0000000001,-8644940.857051518,-8644940.857051518
2025-01-04,2552802.0583726354,1877722.0000000005,-5403826.05825256,-5403826.05825256
2025-01-04,1904987.2516006422,515753.0000000001,-5797445.751782494,-5797445.751782495
2025-01-04,2473381.100506021,2742506.0,-10418731.07515009,-10418731.075150087
2025-01-04,9948928.671233762,-2205499.0000000005,-14926080.381231844,-14926080.381231844
2025-01-04,4583623.898710705,2646532.0,-11910866.907219887,-11910866.907219887
2025-01-04,4727086.708666557,1813136.0,-12391859.740681985,-12391859.740681985
2025-01-04,1220281.5234568503,427098.0,-9686300.659076944,-9686300.659076946
2025-01-04,0.0,3472605.0,-5402856.275209666,-5402856.275209666
2025-01-04,1087403.4573377068,-246920.99999999988,-8096724.384728285,-8096724.384728283
2025-01-04,1892973.6781703113,-3193041.0,-11942544.05639586,-11942544.05639586
2025-01-04,7384619.252789804,1605798.0,-16566862.881662056,-16566862.881662056
2025-01-04,9213230.254944526,2746438.0,-15012014.71328783,-15012014.71328783
2025-01-04,3494654.733538615,-1811317.0,-12312348.845801653,-12312348.845801655
2025-01-04,14765626.179253748,-2440352.0,-18050738.36674636,-18050738.36674636
2025-01-04,10706452.43309905,3163068.0,-16611018.220788524,-16611018.220788524
2025-01-04,273830.87894076185,8788831.0,-7649619.03277647,-7649619.03277647
2025-01-04,946822.7780953931,329518.00000000023,-9596439.127581531,-9596439.127581531
2025-01-04,1652783.9057585164,8414680.0,-6631039.77588418,-6631039.775884179
2025-01-04,307838.1327182782,-621649.0000000001,-8449730.347579947,-8449730.347579947
2025-01-04,1366159.5404346571,947977.0,-9652839.244129097,-9652839.244129097
2025-01-04,1460676.3434504392,1799730.0,-7712011.1832861025,-7712011.1832861025
2025-01-04,2890249.9377296837,-840330.9999999997,-9543731.977751283,-9543731.977751283
2025-01-04,1301247.2207927012,1233292.9999999998,-10097704.939603454,-10097704.939603455
2025-01-04,6942028.263516741,-2473127.0,-12784850.921817876,-12784850.921817873
2025-01-04,2068003.3562339307,10302113.0,-8065076.51033479,-8065076.510334789
2025-01-04,1943106.522674458,2048522.0,-7365559.966654476,-7365559.966654475
2025-01-04,601191.3169194418,771128.0000000001,-7070821.921896299,-7070821.921896299
2025-01-04,2418947.8118339623,243253.99999999962,-11510570.807843352,-11510570.80784335
2025-01-04,1111340.8997264986,3834836.0,-7789309.708757935,-7789309.708757936
2025-01-04,2541995.870810281,-2190074.0,-11405441.769570645,-11405441.769570645
2025-01-04,8928620.196746863,-2846243.0,-16829282.5136298,-16829282.513629798
2025-01-04,187069.59339981954,11302911.0,-11001891.155700423,-11001891.155700423
2025-01-04,2978174.890867434,-200344.00000000017,-12188873.446600039,-12188873.446600039
2025-01-04,3365775.3209889624,1909577.0,-11481453.138282958,-11481453.138282957
2025-01-04,3884591.444645289,-590554.0,-13014796.555050924,-13014796.555050924
2025-01-04,3524140.920844445,1077770.0,-12871789.45291581,-12871789.45291581
2025-01-04,2454750.041472125,1191793.0,-12200097.551682774,-12200097.551682772
2025-01-04,2123595.9709201385,2680059.0,-10974268.327679023,-10974268.327679023
2025-01-04,827748.4484305443,5957839.999999999,-8596105.598506346,-8596105.598506346
2025-01-04,1539624.3629922094,1385385.0,-10827646.076489463,-10827646.076489463
2025-01-04,2485783.1753178635,128003.00000000003,-11842722.976287015,-11842722.976287015
2025-01-04,3115192.963179547,1075570.0,-12471811.272094766,-12471811.272094766
2025-01-04,3661394.2188478964,814201.0000000003,-13491119.516454674,-13491119.516454674
2025-01-04,4758280.324170919,-273927.0000000004,-13360501.571208099,-13360501.5712081
2025-01-04,2811174.1239619507,1332771.0,-14372952.382786103,-14372952.382786103
2025-01-04,1435610.2333654098,12334346.0,-7384704.679688305,-7384704.679688305
2025-01-04,984933.1054633193,1884618.9999999995,-6826819.377760228,-6826819.377760227
2025-01-04,2114226.831684223,2311761.0,-6504036.094491271,-6504036.094491271
2025-01-04,4257420.24900693,1007302.0000000002,-8038537.385064785,-8038537.385064784
2025-01-04,3260295.3284298037,474406.0,-7676489.8166738525,-7676489.816673854
2025-01-04,2055606.8619143507,570198.0000000002,-7527872.28166605,-7527872.28166605
